Publication Type,Authors,Author Full Names,Article Title,Source Title,Language,Document Type,Author Keywords,Keywords Plus,Abstract,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Publication Date,Publication Year,DOI,DOI Link,Number of Pages,WoS Categories,Research Areas,IDS Number,Open Access Designations,Date of Export,Web of Science Record
J,"Bordg, A; Lachnitt, H; He, YJ","Bordg, Anthony; Lachnitt, Hanna; He, Yijun",Certified Quantum Computation in Isabelle/HOL,JOURNAL OF AUTOMATED REASONING,English,Article; Early Access,Isabelle; HOL; Certification; Quantum computing; No-cloning; Quantum teleportation; Deutsch’ s algorithm; Deutsch– Jozsa algorithm; Quantum prisoner’ s dilemma,,"In this article we present an ongoing effort to formalise quantum algorithms and results in quantum information theory using the proof assistant Isabelle/HOL. Formal methods being critical for the safety and security of algorithms and protocols, we foresee their widespread use for quantum computing in the future. We have developed a large library for quantum computing in Isabelle based on a matrix representation for quantum circuits, successfully formalising the no-cloning theorem, quantum teleportation, Deutsch's algorithm, the Deutsch-Jozsa algorithm and the quantum Prisoner's Dilemma. We discuss the design choices made and report on an outcome of our work in the field of quantum game theory.",18,8,8,0,5,0168-7433,1573-0670,,2021 JUN,2021,10.1007/s10817-020-09584-7,http://dx.doi.org/10.1007/s10817-020-09584-7,19,"Computer Science, Artificial Intelligence",Computer Science,SM1HL,"Green Published, Green Submitted, hybrid",2024-03-12,View Full Record in Web of Science
J,"Chakraborty, M; Mukherjee, A; Nag, A; Chandra, S","Chakraborty, Mouli; Mukherjee, Anshu; Nag, Avishek; Chandra, Subhash",Hybrid Quantum Noise Model to Compute Gaussian Quantum Channel Capacity,IEEE ACCESS,English,Article,Quantum communication; statistical quantum signal processing; qubit; Gaussian quantum channel; quantum Poissonian noise; Gaussian noise; quantum Gaussian channel; Gaussian mixture models; quantum entropy; quantum channel capacity,ERROR-CORRECTION; CRYPTOGRAPHY,"Quantum information processing leverages the principles of quantum mechanics, utilizing qubits, to improve computational and communicative tasks. In this realm, the quantum channel's capacity is pivotal in determining the efficiency and accuracy of quantum information handling, with its performance being significantly influenced by channel noise. Our study aims to establish a holistic hybrid quantum noise model to determine the quantum channel capacity. In this paper, we formulated a mathematical expression for this capacity and conducted simulations for both Gaussian and non-Gaussian inputs. A hybrid noise model is constructed by convolution of Poisson-distributed quantum noise with classical additive white Gaussian noise. We characterized the quantum-classical noise and the received signal using Gaussian Mixture Models. The maximum amount of quantum information that can be reliably transmitted over a quantum channel (per use of the channel) is determined by its capacity, and entropy and related quantities like mutual information play a role in calculating this capacity. Our formulation of quantum channel capacity is derived from the mutual information shared between the transmitter and receiver, encompassing the entropies of the signals. The quantum channel presents a higher capacity-to-signal-to-noise ratio for Gaussian inputs than non-Gaussian ones.",81,0,0,0,0,2169-3536,,,,2024,10.1109/ACCESS.2024.3355789,http://dx.doi.org/10.1109/ACCESS.2024.3355789,19,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",Computer Science; Engineering; Telecommunications,HE6X8,gold,2024-03-12,View Full Record in Web of Science
C,"Tang, W; Tomesh, T; Suchara, M; Larson, J; Martonosi, M","Tang, Wei; Tomesh, Teague; Suchara, Martin; Larson, Jeffrey; Martonosi, Margaret",CutQC: Using Small Quantum Computers for Large Quantum Circuit Evaluations,ASPLOS XXVI: TWENTY-SIXTH INTERNATIONAL CONFERENCE ON ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS,English,Proceedings Paper,Quantum Computing (QC); Quantum Circuit Cutting; Hybrid Computing,SUPREMACY,"Quantum computing (QC) is a new paradigm offering the potential of exponential speedups over classical computing for certain computational problems. Each additional qubit doubles the size of the computational state space available to a QC algorithm. This exponential scaling underlies QC's power, but today's Noisy Intermediate-Scale Quantum (NISQ) devices face significant engineering challenges in scalability. The set of quantum circuits that can be reliably run on NISQ devices is limited by their noisy operations and low qubit counts. This paper introduces CutQC, a scalable hybrid computing approach that combines classical computers and quantum computers to enable evaluation of quantum circuits that cannot be run on classical or quantum computers alone. CutQC cuts large quantum circuits into smaller subcircuits, allowing them to be executed on smaller quantum devices. Classical postprocessing can then reconstruct the output of the original circuit. This approach offers significant runtime speedup compared with the only viable current alternative-purely classical simulations-and demonstrates evaluation of quantum circuits that are larger than the limit of QC or classical simulation. Furthermore, in real-system runs, CutQC achieves much higher quantum circuit evaluation fidelity using small prototype quantum computers than the state-of-the-art large NISQ devices achieve. Overall, this hybrid approach allows users to leverage classical and quantum computing resources to evaluate quantum programs far beyond the reach of either one alone.",53,46,50,1,5,,,978-1-4503-8317-2,,2021,10.1145/3445814.3446758,http://dx.doi.org/10.1145/3445814.3446758,14,"Computer Science, Hardware & Architecture; Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BT4EZ,Green Submitted,2024-03-12,View Full Record in Web of Science
B,"Montiel, O","Montiel, Oscar",Quantum Computing,HIGH PERFORMANCE PROGRAMMING FOR SOFT COMPUTING,English,Article; Book Chapter,,,"We present concise information of the main topics that are needed to understand QC. In the introduction the great potential of this field, in special for soft computing, is presented. We depart from classical computing explaining the limitations of classical Turing machines with the aim to introduce the Quantum Turing Machine to simulate Quantum algorithms; we use digital logic to introduce the necessary concepts about the circuit model and reversible computing, with the purpose of extending these concepts to quantum gates and algorithms. Brief overviews of the mathematics used in QC and the basic principles of quantum mechanics also are included. Basic concepts such as the Bloch sphere, quantum bits, registers, gates, circuits and measurement are explained.",16,0,0,0,3,,,978-1-4665-8602-4; 978-1-4665-8601-7,,2014,,10.1201/b16441,25,"Computer Science, Artificial Intelligence; Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BC6GM,,2024-03-12,View Full Record in Web of Science
C,"Deshpande, S; Xu, CQ; Trochatos, T; Ding, YS; Szefer, J","Deshpande, Sanjay; Xu, Chuanqi; Trochatos, Theodoros; Ding, Yongshan; Szefer, Jakub",Towards an Antivirus for Quantum Computers,2022 IEEE INTERNATIONAL SYMPOSIUM ON HARDWARE ORIENTED SECURITY AND TRUST (HOST),English,Proceedings Paper,,,"Researchers are today exploring models for cloud-based usage of quantum computers where multi-tenancy can be used to share quantum computer hardware among multiple users. Multi-tenancy has a promise of allowing better utilization of the quantum computer hardware, but also opens up the quantum computer to new types of security attacks. As this and other recent research shows, it is possible to perform a fault injection attack using crosstalk on quantum computers when a victim and attacker circuits are instantiated as co-tenants on the same quantum computer. To ensure such attacks do not happen, this paper proposes that new techniques should be developed to help catch malicious circuits before they are loaded onto quantum computer hardware. Following ideas from classical computers, a compile-time technique can be designed to scan quantum computer programs for malicious or suspicious code patterns before they are compiled into quantum circuits that run on a quantum computer. This paper presents ongoing work which demonstrates how crosstalk can affect Grover's algorithm, and then presents suggestions of how quantum programs could be analyzed to catch circuits that generate large amounts of crosstalk with malicious intent.",13,0,0,0,3,,,978-1-6654-8532-6,,2022,10.1109/HOST54066.2022.9840181,http://dx.doi.org/10.1109/HOST54066.2022.9840181,4,"Computer Science, Hardware & Architecture; Computer Science, Theory & Methods; Engineering, Electrical & Electronic",Computer Science; Engineering,BT8WC,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Roush, FW","Roush, F. W.",Bohmian Quantum Field Theory and Quantum Computing,"ADVANCES IN INFORMATION AND COMMUNICATION, FICC, VOL 2",English,Proceedings Paper,Quantum computing; NP-complete; Semiclassical field theory; Bohmian mechanics; Unified field theory,,"Abrams and Lloyd proved that if quantum mechanics has a small nonlinear component then theoretical quantum computers would be able to solve NP-complete problems. We show that a semiclassical theory of electrodynamics in which the fermions are quantized but the electromagnetic field is not, and in which the particles and the field interact in a natural way, does have such a nonlinear component. We argue that in many situations this semiclassical theory will be a close approximation to quantum field theory. In a more speculative argument, we discuss the possibility that the apparent quantization of the electromagnetic field could be a result of (1) quantization of interactions of the electromagnetic field with matter and (2) wave packets, regions within the electromagnetic field that are approximate photons. At the least this gives a theory which, if crude, avoids the major divergences of standard quantum field theory. We suggest how this might be extended to a quantum theory of the other three forces by modifying the Standard Model and using a model of gravity equivalent to spin 2 gravitons. This also provides a quantum field theory that agrees with Bohmian ideas.",14,0,0,1,1,2367-3370,2367-3389,978-3-031-28072-6; 978-3-031-28073-3,,2023,10.1007/978-3-031-28073-3_26,http://dx.doi.org/10.1007/978-3-031-28073-3_26,10,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Telecommunications",Computer Science; Telecommunications,BV2FF,,2024-03-12,View Full Record in Web of Science
C,"Wei, QP; Zhang, FX","Wei, Qiping; Zhang, Fengxiang",Mining New Scientific Research Ideas from Quantum Computers and Quantum Communications,14TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND EDUCATION (ICCSE 2019),English,Proceedings Paper,quantum computers; quantum communications; scientific research ideas,,"This paper studies the significant scientific ideas presented in quantum computers and quantum communications. In quantum computers, a quantum has no precise position. It does not follow the causal law and does not hold repeatability. Quantum addition takes almost no time. A quantum (qubit) can present both 1 and 0 at the same time. In quantum communications, when two particles are entangled, one can transfer information to the other that can even across cosmic distance away without energy, time, and any field as medium. All these ideas together form a set of completely new ideas of rational science, breaking through the concepts of classical science. However, the slow research progress of quantum computers and quantum communications reflects that people's knowledge of scientific ideas is very limited. This paper is to discuss the evolution of scientific ideas inspired by quantum computers and quantum communications for further mining the scientific research ideas.",11,2,2,2,4,2471-6146,,978-1-7281-1846-8,,2019,10.1109/iccse.2019.8845476,http://dx.doi.org/10.1109/iccse.2019.8845476,6,"Computer Science, Theory & Methods; Education, Scientific Disciplines; Engineering, Electrical & Electronic",Computer Science; Education & Educational Research; Engineering,BP5NI,,2024-03-12,View Full Record in Web of Science
C,"Capdeville, L; Gautier, T; Pinguet, L; Olart, F; Tassin, É; Lioret, A","Capdeville, Laurine; Gautier, Theo; Pinguet, Luc; Olart, Felix; Tassin, Eloise; Lioret, Alain",Quantum Nodes: Quantum Computing Applied to 3D Modeling,SIGGRAPH '21: ACM SIGGRAPH 2021 POSTERS,English,Proceedings Paper,,,Quantum Nodes is a Blender add-on that introduces the integration of quantum algorithms into the 3D creation process. Our work focuses on allowing users to experiment both new forms of creation and approaching the concepts of quantum computing through 3D creation.,3,0,0,0,0,,,978-1-4503-8371-4,,2021,10.1145/3450618.3469155,http://dx.doi.org/10.1145/3450618.3469155,2,"Computer Science, Artificial Intelligence; Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BS7SN,,2024-03-12,View Full Record in Web of Science
J,"Friedl, K; Ivanyos, G; Magniez, F; Santha, M; Sen, P","Friedl, Katalin; Ivanyos, Gabor; Magniez, Frederic; Santha, Miklos; Sen, Pranab",HIDDEN TRANSLATION AND TRANSLATING COSET IN QUANTUM COMPUTING,SIAM JOURNAL ON COMPUTING,English,Article,quantum algorithms; hidden subgroup problem; solvable groups,SUBGROUP PROBLEM; FOURIER-TRANSFORMS; ALGORITHMS,"We give efficient quantum algorithms for the problems of Hidden Translation and Hidden Subgroup in a large class of nonabelian solvable groups, including solvable groups of constant exponent and of constant length derived series. Our algorithms are recursive. For the base case, we solve efficiently Hidden Translation in Z(p)(n), whenever p is a fixed prime. For the induction step, we introduce the problem Translating Coset generalizing both Hidden Translation and Hidden Subgroup and prove a powerful self-reducibility result: Translating Coset in a finite solvable group G is reducible to instances of Translating Coset in G/N and N, for appropriate normal subgroups N of G. Our self-reducibility framework, combined with Kuperberg's subexponential quantum algorithm for solving Hidden Translation in any abelian group, leads to subexponential quantum algorithms for Hidden Translation and Hidden Subgroup in any solvable group.",45,12,13,0,11,0097-5397,1095-7111,,,2014,10.1137/130907203,http://dx.doi.org/10.1137/130907203,24,"Computer Science, Theory & Methods; Mathematics, Applied",Computer Science; Mathematics,AD8TK,"Green Accepted, Green Submitted",2024-03-12,View Full Record in Web of Science
C,"Backens, M; Kissinger, A","Backens, Miriam; Kissinger, Aleks",ZH: A Complete Graphical Calculus for Quantum Computations Involving Classical Non-linearity,ELECTRONIC PROCEEDINGS IN THEORETICAL COMPUTER SCIENCE,English,Proceedings Paper,,,"We present a new graphical calculus that is sound and complete for a universal family of quantum circuits, which can be seen as the natural string-diagrammatic extension of the approximately (real-valued) universal family of Hadamard+CCZ circuits. The diagrammatic language is generated by two kinds of nodes: the so-called 'spider' associated with the computational basis, as well as a new arity-N generalisation of the Hadamard gate, which satisfies a variation of the spider fusion law. Unlike previous graphical calculi, this admits compact encodings of non-linear classical functions. For example, the AND gate can be depicted as a diagram of just 2 generators, compared to similar to 25 in the ZX-calculus. Consequently, N-controlled gates, hypergraph states, Hadamard+Toffoli circuits, and diagonal circuits at arbitrary levels of the Clifford hierarchy also enjoy encodings with low constant overhead. This suggests that this calculus will be significantly more convenient for reasoning about the interplay between classical non-linear behaviour (e.g. in an oracle) and purely quantum operations. After presenting the calculus, we will prove it is sound and complete for universal quantum computation by demonstrating the reduction of any diagram to an easily describable normal form.",26,26,27,0,1,2075-2180,,,,2019,10.4204/EPTCS.287.2,http://dx.doi.org/10.4204/EPTCS.287.2,20,"Computer Science, Theory & Methods",Computer Science,HU7BO,"Green Submitted, gold",2024-03-12,View Full Record in Web of Science
C,"Ovide, A; Rodrigo, S; Bandic, M; Van Someren, H; Feld, S; Abadal, S; Alarcon, E; Almudever, CG","Ovide, Anabel; Rodrigo, Santiago; Bandic, Medina; Van Someren, Hans; Feld, Sebastian; Abadal, Sergi; Alarcon, Eduard; Almudever, Carmen G.",Mapping quantum algorithms to multi-core quantum computing architectures,"2023 IEEE INTERNATIONAL SYMPOSIUM ON CIRCUITS AND SYSTEMS, ISCAS",English,Proceedings Paper,scalability quantum computing systems; multicore quantum computers; mapping of quantum algorithms,,"Current monolithic quantum computer architectures have limited scalability. One promising approach for scaling them up is to use a modular or multi-core architecture, in which different quantum processors (cores) are connected via quantum and classical links. This new architectural design poses new challenges such as the expensive inter-core communication. To reduce these movements when executing a quantum algorithm, an efficient mapping technique is required. In this paper, a detailed critical discussion of the quantum circuit mapping problem for multi-core quantum computing architectures is provided. In addition, we further explore the performance of a mapping method, which is formulated as a partitioning over time graph problem, by performing an architectural scalability analysis.",33,2,2,1,1,0271-4302,,978-1-6654-5109-3,,2023,10.1109/ISCAS46773.2023.10181589,http://dx.doi.org/10.1109/ISCAS46773.2023.10181589,5,"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Engineering, Electrical & Electronic",Computer Science; Engineering,BV4OT,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Griffin, P; Sampat, R","Griffin, Paul; Sampat, Ritesh",Quantum Computing for Supply Chain Finance,2021 IEEE INTERNATIONAL CONFERENCE ON SERVICES COMPUTING (SCC 2021),English,Proceedings Paper,quantum computing; credit; trade finance; supply chain finance,,"Applying quantum computing to real world applications to assess the potential efficacy is a daunting task for non-quantum specialists. This paper shows an implementation of two quantum optimization algorithms applied to portfolios of trade finance portfolios and compares the selections to those chosen by experienced underwriters and a classical optimizer. The method used is to map the financial risk and returns for a trade finance portfolio to an optimization function of a quantum algorithm developed in a Qiskit tutorial. The results show that whilst there is no advantage seen by using the quantum algorithms, the performance of the quantum algorithms has no statistically significant degradation. Therefore, it is promising that in the future, with expected improvements in quantum hardware, the theoretically superior processing speeds, and data volumes that quantum offers, will also be applicable to trade finance.",9,5,6,3,9,,,978-1-6654-1683-2,,2021,10.1109/SCC53864.2021.00066,http://dx.doi.org/10.1109/SCC53864.2021.00066,4,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods",Computer Science,BT1QN,Green Accepted,2024-03-12,View Full Record in Web of Science
J,"Michielsen, K; Nocon, M; Willsch, D; Jin, FP; Lippert, T; De Raedt, H","Michielsen, Kristel; Nocon, Madita; Willsch, Dennis; Jin, Fengping; Lippert, Thomas; De Raedt, Hans",Benchmarking gate-based quantum computers,COMPUTER PHYSICS COMMUNICATIONS,English,Article,Quantum computing; Benchmarking; Superconducting qubits; Quantum circuits,,"With the advent of public access to small gate-based quantum processors, it becomes necessary to develop a benchmarking methodology such that independent researchers can validate the operation of these processors. We explore the usefulness of a number of simple quantum circuits as benchmarks for gate based quantum computing devices and show that circuits performing identity operations are very simple, scalable and sensitive to gate errors and are therefore very well suited for this task. We illustrate the procedure by presenting benchmark results for the IBM Quantum Experience, a cloud-based platform for gate-based quantum computing. (C) 2017 The Author(s). Published by Elsevier B.V.",22,37,40,0,23,0010-4655,1879-2944,,NOV,2017,10.1016/j.cpc.2017.06.011,http://dx.doi.org/10.1016/j.cpc.2017.06.011,12,"Computer Science, Interdisciplinary Applications; Physics, Mathematical",Computer Science; Physics,FI8KU,"Green Published, hybrid, Green Submitted",2024-03-12,View Full Record in Web of Science
C,"Wang, DY; Wu, JJ; Yi, X","Wang, Dongyang; Wu, Junjie; Yi, Xun",Optical Quantum Computing,2015 11TH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION (ICNC),English,Proceedings Paper,quantum computing; optical quantum computing; photons; Shor's algorithm,PHOTONIC CHIP; COMPUTATION; SYSTEMS; GATES,"Quantum computing offers a much more efficient way of computation than its classical counterpart, due to the specific characters in quantum mechanics. To realize quantum computers, one must find a specific physical system as a platform. Available systems include atoms, electrons, ions, photons and so on. Photons are easier to manipulate and have a better coherence. This article studies on the basic concepts of optical quantum computing, and then introduces the optical implementation of Shor's quantum factoring algorithm, along with some other present applications, to show the promising future of optical quantum computing.",34,5,6,1,18,,,978-1-4673-7679-2,,2015,,,8,"Computer Science, Theory & Methods",Computer Science,BF4CF,,2024-03-12,View Full Record in Web of Science
J,"Ali, M","Ali, Mazhar",Quantum dissonance and deterministic quantum computation with a single qubit,INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,English,Article,Quantum computation; multipartite entanglement; quantum correlations,ENTANGLEMENT; MECHANICS; STATES,"Mixed state quantum computation can perform certain tasks which are believed to be efficiently intractable on a classical computer. For a specific model of mixed state quantum computation, namely, deterministic quantum computation with a single qubit (DQC1), recent investigations suggest that quantum correlations other than entanglement might be responsible for the power of DQC1 model. However, strictly speaking, the role of entanglement in this model of computation was not entirely clear. We provide conclusive evidence that there are instances where quantum entanglement is not present in any part of this model, nevertheless we have advantage over classical computation. This establishes the fact that quantum dissonance (a kind of quantum correlations) present in fully separable (FS) states provide power to DQC1 model.",66,5,5,2,9,0219-7499,1793-6918,,SEP,2014,10.1142/S0219749914500373,http://dx.doi.org/10.1142/S0219749914500373,13,"Computer Science, Theory & Methods; Quantum Science & Technology; Physics, Particles & Fields; Physics, Mathematical",Computer Science; Physics,AW3GX,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Yamakami, T","Yamakami, Tomoyuki",Expressing Power of Elementary Quantum Recursion Schemes for Quantum Logarithmic-Time Computability,"LOGIC, LANGUAGE, INFORMATION, AND COMPUTATION, WOLLIC 2022",English,Proceedings Paper,schematic definition; quantum Turing machine; fast quantum recursion; quantum logarithmic-time computability,,"Quantum computing has been studied over the past four decades based on two computational models of quantum circuits and quantum Turing machines. To capture quantum polynomial-time computability, a new recursion-theoretic approach was taken lately by Yamakami [J. Symb. Logic 80, pp. 1546-1587, 2020] by way of schematic definitions, which constitute a few initial quantum functions and a few construction schemes, including composition, branching, and multi-qubit quantum recursion. By taking a similar step, we look into quantum logarithmic-time computability and further explore the expressing power of elementary schemes designed for such quantum computation. In particular, we introduce an elementary form of the quantum recursion, called the fast quantum recursion, which helps us capture quantum logarithmic-time computability.",17,0,0,0,1,0302-9743,1611-3349,978-3-031-15298-6; 978-3-031-15297-9,,2022,10.1007/978-3-031-15298-6_6,http://dx.doi.org/10.1007/978-3-031-15298-6_6,17,"Computer Science, Artificial Intelligence; Computer Science, Information Systems",Computer Science,BU0BM,,2024-03-12,View Full Record in Web of Science
C,"Rodrigo, S; Spanò, D; Bandic, M; Abadal, S; van Someren, H; Ovide, A; Feld, S; Almudéver, CG; Alarcón, E","Rodrigo, Santiago; Spano, Domenico; Bandic, Medina; Abadal, Sergi; van Someren, Hans; Ovide, Anabel; Feld, Sebastian; Almudever, Carmen G.; Alarcon, Eduard",Characterizing the Spatio-Temporal Qubit Traffic of a Quantum Intranet Aiming at Modular Quantum Computer Architectures,"PROCEEDINGS OF THE 9TH ACM INTERNATIONAL CONFERENCE ON NANOSCALE COMPUTING AND COMMUNICATION, ACM NANOCOM 2022",English,Proceedings Paper,Quantum Computing; Multicore Quantum Architectures; Traffic Characterization; Network Performance Analysis; Network-on-Chip,,"Quantum many-core processors are envisioned as the ultimate solution for the scalability of quantum computers. Based upon Noisy Intermediate-Scale Quantum (NISQ) chips interconnected in a sort of quantum intranet, they enable large algorithms to be executed on current and close future technology. In order to optimize such architectures, it is crucial to develop tools that allow specific design space explorations. To this aim, in this paper we present a technique to perform a spatio-temporal characterization of quantum circuits running in multi-chip quantum computers. Specifically, we focus on the analysis of the qubit traffic resulting from operations that involve qubits residing in different cores, and hence quantum communication across chips, while also giving importance to the amount of intra-core operations that occur in between those communications. Using specific multi-core performance metrics and a complete set of benchmarks, our analysis showcases the opportunities that the proposed approach may provide to guide the design of multi-core quantum computers and their interconnects.",30,1,1,0,0,,,978-1-4503-9867-1,,2022,10.1145/3558583.3558846,http://dx.doi.org/10.1145/3558583.3558846,7,"Computer Science, Interdisciplinary Applications; Telecommunications",Computer Science; Telecommunications,BW2JT,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Rodrigo, S; Abadal, S; Almudéver, CG; Alarcón, E","Rodrigo, Santiago; Abadal, Sergi; Almudever, Carmen G.; Alarcon, Eduard",Modelling Short-range Quantum Teleportation for Scalable Multi-Core Quantum Computing Architectures,PROCEEDINGS OF THE 8TH ACM INTERNATIONAL CONFERENCE ON NANOSCALE COMPUTING AND COMMUNICATION (ACM NANOCOM 2021),English,Proceedings Paper,Quantum Computing; Many-core Quantum Computers; Quantum Communications; Quantum Computers Scalability,ENTANGLEMENT,"Multi-core quantum computing has been identified as a solution to the scalability problem of quantum computing. However, interconnecting quantum chips is not trivial, as quantum communications have their share of quantum weirdness: quantum decoherence and the no-cloning theorem makes transferring qubits a harsh challenge, where every extra nanosecond counts and retransmission is simply impossible. In this paper, we present our first steps towards thorough modeling of quantum communications for multicore quantum computers, which may be considered as a middle point between the well-known paradigms of Quantum Internet and Network-on-Chip. In particular, we stress the deep entanglement that exists between latency and error rates in quantum computing, and how this affects the quantum network design for this scenario. Moreover, we show the concomitant trade-off between computation and communication resources for a set of parameters out of state-of-the-art experimental research. The observed behavior lets us foresee the potential of multi-core quantum architectures.",27,2,2,0,3,,,978-1-4503-8710-1,,2021,10.1145/3477206.3477461,http://dx.doi.org/10.1145/3477206.3477461,7,"Computer Science, Theory & Methods; Engineering, Electrical & Electronic; Nanoscience & Nanotechnology; Telecommunications",Computer Science; Engineering; Science & Technology - Other Topics; Telecommunications,BS7FU,Green Submitted,2024-03-12,View Full Record in Web of Science
S,"Misra, SK","Misra, Sushil K.",Quantum Computing/Quantum Information Processing in View of Electron Magnetic/Electron Paramagnetic Resonance Technique/Spectroscopy,ELECTRON SPIN RESONANCE (ESR) BASED QUANTUM COMPUTING,English,Article; Book Chapter,Quantum computing (QC); Quantum information processing; Electron paramagnetic/spin resonance (EPR/ESR); Pulse EPR/ESR Fourier transform (FT) spectroscopy; Spin manipulation technology; Electron-nuclear spin qubit systems; Quantum entanglement; Pulsed electron-nuclear double resonance (ENDOR); Time-proportional phase increment (TPPI) technique in pulsed ENDOR; Electron-nuclear hybrid spin qubits; Molecular magnets; Endothermal fullerenes; Quantum gates; Di Vincenzo's criteria; Bell states,PROBABILITY RELATIONS,"This chapter discusses spin-based quantum computation and information processing using Electron Magnetic Resonance (also known as Electron Paramagnetic Resonance-EPR, Electron Spin Resonance-ESR; the term EPR will be used hereafter). The technique of pulsed EPR can be exploited to design quantum computers. New quantum information applications can be established by the development of EPR-based spin manipulation methodology on self-assembling, interacting nanoscale structures, e.g. fullerenes. The details and implications of these in the context of quantum computing are covered. As well, the various relevant jargons used in quantum computing are briefly described.",25,6,8,1,5,0192-6020,,978-1-4939-3658-8; 978-1-4939-3656-4,,2016,10.1007/978-1-4939-3658-8_1,http://dx.doi.org/10.1007/978-1-4939-3658-8_1,23,"Computer Science, Theory & Methods; Physics, Applied",Computer Science; Physics,BI5EI,,2024-03-12,View Full Record in Web of Science
J,"Byrd, GT; Ding, YS","Byrd, Gregory T.; Ding, Yongshan",Quantum Computing: Progress and Innovation,COMPUTER,English,Article,Computers; Technological innovation; Quantum system; Quantum computing; Hardware,,"The field of quantum computers has reached the point of having real systems available for experimentation to a broad community. In this article, we review recent developments in hardware technology, outline challenges and innovations in quantum systems, and discuss efforts to cultivate and educate a quantum-ready community.",27,2,2,11,12,0018-9162,1558-0814,,JAN,2023,10.1109/MC.2022.3217021,http://dx.doi.org/10.1109/MC.2022.3217021,10,"Computer Science, Hardware & Architecture; Computer Science, Software Engineering",Computer Science,D2MJ7,,2024-03-12,View Full Record in Web of Science
C,"Galanis, IP; Savvas, IK; Garani, G","Galanis, Ilias P.; Savvas, Ilias K.; Garani, Georgia",Experimental Approach of the Quantum Volume on Different Quantum Computing Devices,INTELLIGENT DISTRIBUTED COMPUTING XIV,English,Proceedings Paper,,,"Quantum Computing is one of the most promising technology advancements of our time, promising to clarify problems considered unsolved for a classical computer. Real Quantum Computer Devices-once a science fiction concept-are now a reality. Many challenges still remain, on the way to achieve the so-called quantum supremacy. A phenomenon called Quantum Decoherence is the main cause of noise, making the available Quantum Computer Devices now limited to a few dozens of qubits at present. Despite that, most of the IT giants as IBM, Google and Rigetti are investing large amounts of money on deferent technological approaches to implement such devices and giving free access through the cloud not only to researchers but to common users also. So, it is important to evaluate and compare Quantum Computers of different philosophy, a process far more difficult than the equivalent for a classical computer. Quantum Volume represents a metric which measures the Quantum Computing Devices' reliability in terms of error rates. In this paper, quantum circuits implementing Hadamard and CNOT gates were examined on three dif-ferent IBM Quantum Computer Devices in order to experimentally investigate Quantum Volume and attempt to provide a meaning of this metric. Data of these experiments are presented and additionally, different metrics are used to compare the performance of the Quantum Computer Devices.",24,0,0,0,0,1860-949X,1860-9503,978-3-030-96627-0; 978-3-030-96626-3,,2022,10.1007/978-3-030-96627-0_43,http://dx.doi.org/10.1007/978-3-030-96627-0_43,10,"Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods",Computer Science,BT9ZF,,2024-03-12,View Full Record in Web of Science
