(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,thecap,labeled_at,general notes (thecap)
39873092,10.1007/s11128-021-0,0,Complementarity; Entanglement; IBM Q; IonQ; Quantum nondemolition (QND); Qubits; Superconducting; Trapped ions,"We report the experimental nondemolition measurement of coherence, predictability and concurrence on a system of two qubits. The quantum circuits proposed by De Melo et al. (Phys Rev Lett 98(25):250501, 2007) are implemented on IBM Q (superconducting circuit) and IonQ (trapped ion) quantum computers. Three criteria are used to compare the performance of the different machines on this task: measurement accuracy, nondemolition of the observable, and quantum state preparation. We find that the IonQ quantum computer provides constant state fidelity through the nondemolition process, outperforming IBM Q systems on which the fidelity consequently drops after the measurement. Our study compares the current performance of these two technologies at different stages of the nondemolition measurement of bipartite complementarity. ? 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Experimental QND measurements of complementarity on two-qubit states with IonQ and IBM Q quantum computers,Quantum Information Processing,Schwaller N.; Vento V.; Galland C.,,o,,-1,2024-02-23 14:07:42,
39873093,10.1038/npjqi.2016.3,0,,"The first generation of quantum computers are on the horizon, fabricated from quantum hardware platforms that may soon be able to tackle certain tasks that cannot be performed or modelled with conventional computers. These quantum devices will not likely be universal or fully programmable, but special-purpose processors whose hardware will be tightly co-designed with particular target applications. Trapped atomic ions are a leading platform for first-generation quantum computers, but they are also fundamentally scalable to more powerful general purpose devices in future generations. This is because trapped ion qubits are atomic clock standards that can be made identical to a part in 1015, and their quantum circuit connectivity can be reconfigured through the use of external fields, without modifying the arrangement or architecture of the qubits themselves. In this forward-looking overview, we show how a modular quantum computer with thousands or more qubits can be engineered from ion crystals, and how the linkage between ion trap qubits might be tailored to a variety of applications and quantum-computing protocols. ? The Author(s) 2016.",Co-designing a scalable quantum computer with trapped atomic ions,npj Quantum Information,Brown K.R.; Kim J.; Monroe C.,,o,,-1,2024-02-23 20:48:56,
39873094,10.1109/DAAS.2014.68,0,Quantum algorithm; Quantum computing; Qubit,Quantum computing is a new field of science which uses quantum phenomena to perform operations on data. The paper presents the basic theory of quantum computing and the recent results in quantum algorithm development. ? 2014 IEEE.,From classical computing to quantum computing,"2014 International Conference on Development and Application Systems, DAS 2014 - Conference Proceedings",B?r?l? A.,,o,,1,2024-02-23 16:24:26,
39873095,10.1080/17579961.202,0,computational law; innovation policy; quantum computer; Quantum law; quantum mechanics,"Quantum computing technology will greatly enhance the abilities of the emerging field of computational law to express, model, and operationalise law in algorithmic form. Foreshadowing the harnessing of the power of quantum computing technology by the legal sector, this essay targets, with reference to computational complexity theory, the categories of computational problems which quantum computers are better equipped to deal with than are classical computers (?quantum supremacy?). Subsequently, the essay demarcates the possible contours of legal ?quantum supremacy? by showcasing three anticipated legal fields of quantum technology: optimisation problems, burdens of proof, and machine learning. Acknowledging that the exact manifestation of quantum computing technology in the legal sector is as yet difficult to predict, the essay posits that the meaningful utilisation of quantum computing technology at a later stage presupposes a creative imagination of possible use-cases at the present. ? 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Quantum computing and computational law,"Law, Innovation and Technology",Atik J.; Jeutner V.,,o,,-1,2024-02-23 14:09:08,
39873096,10.1007/s11128-018-1,0,Cluster state; Highly entangled states; IBM Quantum Experience,"Measurement-based quantum computation (MQC) is a leading paradigm for building a quantum computer. Cluster states being used in this context act as one-way quantum computers. Here, we consider Z-states as a type of highly entangled states like cluster states, which can be used for one-way or measurement-based quantum computation. We define Z-state basis as a set of orthonormal states which are as equally entangled as the cluster states. We design new quantum circuits to nondestructively discriminate these highly entangled Z-states. The proposed quantum circuits can be generalized for N-qubit quantum system. We confirm the preservation of Z-states after the performance of the circuit by quantum state tomography process. ? 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Nondestructive discrimination of a new family of highly entangled states in IBM quantum computer,Quantum Information Processing,Satyajit S.; Srinivasan K.; Behera B.K.; Panigrahi P.K.,,o,,-1,2024-02-23 18:59:24,
39873097,10.1109/TQE.2020.304,0,Controlled NOT (CNOT); Dicke states; IBMQ; noisy computation; quantum circuit; quantum computing,"Exact requirement of controlled NOT (CNOT) and single-qubit gates to implement a quantum algorithm in a given architecture is one of the central problems in this computational paradigm. In this article, we take a tutorial approach in explaining the preparation of Dicke states (|Dnk?) using concise realizations of partially defined unitary transformations. We show how to efficiently implement the state-of-the-art deterministic Dicke state preparation circuits and in turn optimize them in terms of CNOT and single-qubit gate counts. We explain theoretical ideas in reducing the gate counts and observe how these improvements are reflected in actual implementation of the circuits. To emphasize the advantages, we describe the circuit for preparing |D42? on the ?ibmqx2? machine of the IBM quantum experience (QX) service. Our approach shows that the error induced due to noise in the system is lesser in comparison to the existing works. We conclude by describing the CNOT map of the generic |Dnk?preparation circuit and analyze different ways of distributing the CNOT gates in the circuit and its effect on the induced error in the Noisy Intermediate Scale Quantum environment. ? 2020 IEEE.",Preparing Dicke States on a Quantum Computer,IEEE Transactions on Quantum Engineering,Mukherjee C.S.; Maitra S.; Gaurav V.; Roy D.,,o,,-1,2024-02-21 14:14:22,
39873098,10.1038/s43588-021-0,0,,[No abstract available],Simulating thermal physics on quantum computers,Nature Computational Science,Pan J.,,o,,-1,2024-02-23 21:17:12,
39873099,10.1109/CIS.2014.55,0,Granular computing; Model; Quantum computing; Quantum search algorithm,"This paper firstly introduces quantum computing theory into the study of granular computing, then puts forward a new granular computing model based on quantum computing theory, which fully makes full use of the parallelism of quantum computing and layered characteristics of the granular computing. As Grover quantum algorithm has some shortcomings in the classical target number of solutions to solve more problems in the search space, this paper further puts forward an improved Grover quantum search algorithm, and experiment results show it is effective. ? 2014 IEEE.",Granular computing model based on quantum computing theory,"Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014",Hu J.; Guan C.,,o,,-1,2024-02-23 17:53:55,
39873100,10.23919/DATE48585.2,0,,"The recent advances in the physical realization of Noisy Intermediate Scale Quantum (NISQ) computers have motivated research on design automation that allows users to execute quantum algorithms on them. Certain physical constraints in the architectures restrict how logical qubits used to describe the algorithm can be mapped to physical qubits used to realize the corresponding functionality. Thus far, this has been addressed by inserting additional operations in order to overcome the physical constrains. However, all these approaches have taken the existing architectures as invariant and did not explore the potential of changing the quantum architecture itself - a valid option as long as the underlying physical constrains remain satisfied. In this work, we propose initial ideas to explore this potential. More precisely, we introduce several schemes for the generation of alternative coupling graphs (and, by this, quantum computing architectures) that still might be able to satisfy physical constraints but, at the same time, allow for a more efficient realization of the desired quantum functionality. ? 2020 EDAA.",Towards Exploring the Potential of Alternative Quantum Computing Architectures,"Proceedings of the 2020 Design, Automation and Test in Europe Conference and Exhibition, DATE 2020",Deb A.; Dueck G.W.; Wille R.,,o,,-1,2024-02-23 17:49:26,
39873101,10.1007/s11128-021-0,0,Anisotropic universe; Higher derivatives; IBM?s Quantum Information Science Kit (QISKit) python library; Infinite-dimensional superspace; Kaluza?Klein; Minisuperspaces; Quantum cosmology; String dilaton; Universal wavefunction; Variational Quantum Eigensolver (VQE) algorithm,"Quantum computers promise to efficiently solve important problems that are intractable on a conventional computer. Quantum computational algorithms have the potential to be an exciting new way of studying quantum cosmology. In quantum cosmology, we learn about the dynamics of the universe without constructing a complete theory of quantum gravity. Since the universal wavefunction exists in an infinite-dimensional superspace over all possible 3D metrics and modes of matter configurations, we take minisuperspaces for our work by constraining the degrees of freedom to particular 3D metrics and uniform scalar field configurations. Here, we consider a wide variety of cosmological models. We begin by analyzing an anisotropic universe with cosmological constant and classical radiation. We then study the results for higher derivatives, Kaluza?Klein theories and string dilaton in quantum cosmology. We use IBM?s Quantum Information Science Kit (QISKit) python library and the Variational Quantum Eigensolver (VQE) algorithm for studying these systems. The VQE algorithm is a hybrid algorithm that uses the variational approach and interleaves quantum and classical computations in order to find the minimum eigenvalue of the Hamiltonian for a given system. The minimum eigenvalue of the Hamiltonian obtained will serve as a boundary condition for the given wavefuntion. ? 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Demonstration of minisuperspace quantum cosmology using quantum computational algorithms on IBM quantum computer,Quantum Information Processing,Ganguly A.; Dhaulakhandi R.; Behera B.K.; Panigrahi P.K.,,o,,-1,2024-02-23 21:18:55,
39873102,10.1109/MM.2021.3099,0,,"Given the impeding timeline of developing good quality quantum processing units, it is the moment to rethink the approach to advance quantum computing research. Rather than waiting for quantum hardware technologies to mature, we need to start assessing in tandem the impact of the occurrence of quantum computing in various scientific fields. However, to this purpose, we need to use a complementary but quite different approach than proposed by the NISQ vision, which is heavily focused on and burdened by the engineering challenges. That is why we propose and advocate the PISQ approach: Perfect Intermediate Scale Quantum computing based on the already known concept of perfect qubits. This will allow researchers to focus much more on the development of new applications by defining the algorithms in terms of perfect qubits and evaluate them on quantum computing simulators that are executed on supercomputers. It is not the long-term solution but will currently allow universities to research on quantum logic and algorithms and companies can already start developing their internal know-how on quantum solutions.  ? 1981-2012 IEEE.",Quantum Computing - From NISQ to PISQ,IEEE Micro,Bertels K.; Sarkar A.; Ashraf I.,,o,,-1,2024-02-22 12:37:44,
39873103,10.1145/3400302.3415,0,,"Superconducting quantum computing technology has ushered in a new era of computational possibilities. While a considerable research effort has been geared toward improving the quantum technology and building the software stack to efficiently execute quantum algorithms with reduced error rate, effort toward optimizing how quantum output states are defined and classified for the purpose of reducing the error rate is still limited. To this end, this paper proposes DisQ, a quantum output state classification approach which reduces error rates of quantum programs on NISQ devices. ? 2020 Association on Computer Machinery.",DisQ: A Novel Quantum Output State Classification Method on IBM Quantum Computers using OpenPulse,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers, ICCAD",Patel T.; Tiwari D.,,o,,0,2024-02-23 16:38:44,
39873104,10.3233/APC200019,0,Quantum computing; Qubits,"In the hypothetical quantum computing one replaces the classical two-state bit by a quantum element (qubit) with two basic states, ? and ?. Its arbitrary state is described by the wave function ? = a? + b?, where a and b are complex amplitudes, satisfying the normalization condition. Unlike the classical bit, that can be only in one of the two states, ? or ?, the qubit can be in a continuum of states defined by the quantum amplitudes a and b. The qubit is a continuous object. At a given moment, the state of a quantum computer with N qubits is characterized by 2N quantum amplitudes, which are continuous variables restricted by the normalization condition only. Thus, the hypothetical quantum computer is an analog machine characterized by a super-astronomical number of continuous variables (even for N-100?1000). Their values cannot be arbitrary, they must be under our control. Thus the answer to the question in title is: When physicists and engineers will learn to keep under control this number of continuous parameters, which means - never. ? 2020 The authors and IOS Press.",Will we ever have a quantum computer?,Advances in Parallel Computing,Dyakonov M.I.,,o,,-1,2024-02-23 1:58:32,
39873105,10.1017/S09601295120,0,,"Quantum computation and quantum computational logics give rise to some non-standard probability spaces that are interesting from a formal point of view. In this framework, events represent quantum pieces of information (qubits, quregisters, mixtures of quregisters), while operations on events are identified with quantum logic gates (which correspond to dynamic reversible quantum processes). We investigate the notion of Shi-Aharonov quantum computational algebra. This structure plays the role for quantum computation that is played by ?-complete Boolean algebras in classical probability theory. Copyright ? Cambridge University Press 2014.",Probability in quantum computation and quantum computational logics: A survey,Mathematical Structures in Computer Science,Dalla Chiara M.L.; Giuntini R.; Sergioli G.,,o,,-1,2024-02-23 20:53:24,
39873106,10.1145/3511715,0,full-stack software; high-level programming; Quantum materials; quantum simulations,"ArQTiC is an open-source, full-stack software package built for the simulations of materials on quantum computers. It currently can simulate materials that can be modeled by any Hamiltonian derived from a generic, one-dimensional, time-dependent Heisenberg Hamiltonian. ArQTiC includes modules for generating quantum programs for real- and imaginary-time evolution, quantum circuit optimization, connection to various quantum backends via the cloud, and post-processing of quantum results. By enabling users to seamlessly design, execute, and analyze materials simulations on quantum computers, ArQTiC opens this field to a broader community of scientists from a wider range of scientific domains.  ? 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",ArQTiC: A Full-stack Software Package for Simulating Materials on Quantum Computers,ACM Transactions on Quantum Computing,Bassman L.; Powers C.; De Jong W.A.,,o,,1,2024-02-20 14:47:50,
39873107,10.1038/s41534-020-0,0,,"In the current era of noisy intermediate-scale quantum computers, noisy qubits can result in biased results for early quantum algorithm applications. This is a significant challenge for interpreting results from quantum computer simulations for quantum chemistry, nuclear physics, high energy physics (HEP), and other emerging scientific applications. An important class of qubit errors are readout errors. The most basic method to correct readout errors is matrix inversion, using a response matrix built from simple operations to probe the rate of transitions from known initial quantum states to readout outcomes. One challenge with inverting matrices with large off-diagonal components is that the results are sensitive to statistical fluctuations. This challenge is familiar to HEP, where prior-independent regularized matrix inversion techniques (?unfolding?) have been developed for years to correct for acceptance and detector effects, when performing differential cross section measurements. We study one such method, known as iterative Bayesian unfolding, as a potential tool for correcting readout errors from universal gate-based quantum computers. This method is shown to avoid pathologies from commonly used matrix inversion and least squares methods. ? 2020, The Author(s).",Unfolding quantum computer readout noise,npj Quantum Information,Nachman B.; Urbanek M.; de Jong W.A.; Bauer C.W.,,o,,-1,2024-02-21 20:18:52,
39873108,10.1145/3474223,0,Crosstalk; Decoherence; Molecular qubits; Off-resonance; Quantum circuits,"Classical simulation of Noisy Intermediate Scale Quantum computers is a crucial task for testing the expected performance of real hardware. The standard approach, based on solving Schr?dinger and Lindblad equations, is demanding when scaling the number of qubits in terms of both execution time and memory. In this article, attempts in defining compact models for the simulation of quantum hardware are proposed, ensuring results close to those obtained with standard formalism. Molecular Nuclear Magnetic Resonance quantum hardware is the target technology, where three non-ideality phenomena - common to other quantum technologies - are taken into account: decoherence, off-resonance qubit evolution, and undesired qubit-qubit residual interaction. A model for each non-ideality phenomenon is embedded into a MATLAB simulation infrastructure of noisy quantum computers. The accuracy of the models is tested on a benchmark of quantum circuits, in the expected operating ranges of quantum hardware. The corresponding outcomes are compared with those obtained via numeric integration of the Schr?dinger equation and the Qiskit's QASMSimulator. The achieved results give evidence that this work is a step forward towards the definition of compact models able to provide fast results close to those obtained with the traditional physical simulation strategies, thus paving the way for their integration into a classical simulator of quantum computers.  ? 2021 Association for Computing Machinery.",Towards Compact Modeling of Noisy Quantum Computers: A Molecular-Spin-Qubit Case of Study,ACM Journal on Emerging Technologies in Computing Systems,Simoni M.; Cirillo G.A.; Turvani G.; Graziano M.; Zamboni M.,,o,,-1,2024-02-20 20:31:31,
39873109,10.1515/auto-2019-00,0,Cryptographic Agility; IIoT; Post-Quantum Cryptography; Quantum Computing; Security,"Cryptographic primitives do not remain secure, they deteriorate over time. On the one hand increasing computing power leads to more powerful attacks on their underlying mathematical problems. On the other hand quantum computing threatens to break many widely used cryptographic primitives. The main goal of cryptographic agility is to enable an easy transition to alternative cryptographic schemes. Considering the long lifetime of products within industrial automation, we argue that vendors should strive for cryptographic agility in their products. In this work we motivate cryptographic agility by discussing the threat of quantum computers to modern cryptography. Additionally, we introduce the reader to the concept of post-quantum cryptography. Ultimately, we demonstrate that cryptographic agility requires three elements: 1) cryptographic application programming interfaces, 2) secure update mechanisms and 3) documentation of cryptographic primitives. By providing practical concepts we show how to meet these requirements in software-based systems. ? 2019 Walter de Gruyter GmbH, Berlin/Boston 2019.",On the importance of cryptographic agility for industrial automation: Preparing industrial systems for the quantum computing era,At-Automatisierungstechnik,Paul S.; Niethammer M.,,o,,-1,2024-02-23 2:14:07,
39873110,10.1007/s00453-013-9,0,Evolutionary computation; Quantum algorithm; Runtime analysis; Theory,"In this article, we formulate and study quantum analogues of randomized search heuristics, which make use of Grover search (in Proceedings of the 28th Annual ACM Symposium on Theory of Computing, pp. 212-219. ACM, New York, 1996) to accelerate the search for improved offsprings. We then specialize the above formulation to two specific search heuristics: Random Local Search and the (1+1) Evolutionary Algorithm. We call the resulting quantum versions of these search heuristics Quantum Local Search and the (1+1) Quantum Evolutionary Algorithm. We conduct a rigorous runtime analysis of these quantum search heuristics in the computation model of quantum algorithms, which, besides classical computation steps, also permits those unique to quantum computing devices. To this end, we study the six elementary pseudo-Boolean optimization problems OneMax, LeadingOnes, Discrepancy, Needle, Jump, and TinyTrap. It turns out that the advantage of the respective quantum search heuristic over its classical counterpart varies with the problem structure and ranges from no speedup at all for the problem Discrepancy to exponential speedup for the problem TinyTrap. We show that these runtime behaviors are closely linked to the probabilities of performing successful mutations in the classical algorithms. ? 2013 Springer Science+Business Media New York.",Evolutionary algorithms for quantum computers,Algorithmica,Johannsen D.; Kurur P.P.; Lengler J.,,o,,-1,2024-02-23 21:29:19,
39873111,10.1038/npjqi.2015.1,0,,"Individual impurity atoms in silicon can make superb individual qubits, but it remains an immense challenge to build a multi-qubit processor: there is a basic conflict between nanometre separation desired for qubit?qubit interactions and the much larger scales that would enable control and addressing in a manufacturable and fault-tolerant architecture. Here we resolve this conflict by establishing the feasibility of surface code quantum computing using solid-state spins, or ?data qubits?, that are widely separated from one another. We use a second set of ?probe? spins that are mechanically separate from the data qubits and move in and out of their proximity. The spin dipole?dipole interactions give rise to phase shifts; measuring a probe?s total phase reveals the collective parity of the data qubits along the probe?s path. Using a protocol that balances the systematic errors due to imperfect device fabrication, our detailed simulations show that substantial misalignments can be handled within fault-tolerant operations. We conclude that this simple ?orbital probe? architecture overcomes many of the difficulties facing solid-state quantum computing, while minimising the complexity and offering qubit densities that are several orders of magnitude greater than other systems. ? 2016 University of New South Wales/Macmillan Publishers Limited.",A silicon-based surface code quantum computer,npj Quantum Information,O?gorman J.; Nickerson N.H.; Ross P.; Morton J.J.L.; Benjamin S.C.,,o,,-1,2024-02-20 15:15:20,
39873112,10.1109/TQE.2023.330,0,Quantum computing,"We apply quantum error mitigation (QEM) techniques to a variety of benchmark problems and quantum computers to evaluate the performance of QEM in practice. To do so, we define an empirically motivated, resource-normalized metric of the improvement of error mitigation, which we call the improvement factor, and calculate this metric for each experiment we perform. The experiments we perform consist of zero-noise extrapolation and probabilistic error cancellation applied to two benchmark problems run on IBM, IonQ, and Rigetti quantum computers, as well as noisy quantum computer simulators. Our results show that error mitigation is, on average, more beneficial than no error mitigation - even when normalized by the additional resources used - but also emphasize that the performance of QEM depends on the underlying computer. ? 2020 IEEE.",Testing Platform-Independent Quantum Error Mitigation on Noisy Quantum Computers,IEEE Transactions on Quantum Engineering,Russo V.; Mari A.; Shammah N.; Larose R.; Zeng W.J.,,o,,-1,2024-02-19 15:39:31,
39873113,10.1002/qute.2021000,0,computational fluid dynamics; magneto-hydrodynamics; Navier-Stokes equations; partial differential equations; quantum algorithms; quantum computing; turbulence,"Efficient simulation of a quantum system's dynamics is expected to be an important application area for quantum computers as existing classical computers cannot do this. However, quantum systems are not unique in being hard to simulate. For example, classical nonlinear continuum systems and fields are governed by nonlinear partial differential equations whose solution is also hard for classical computers. Solving such equations is essential for many economically important industries/applications such as the aerospace industry, weather-forecasting, fiber-optics communication, and plasma magneto-hydrodynamics. This raises the question: can a quantum computer speed-up solving these equations? In this Review, a new quantum algorithm is described for solving nonlinear partial differential equations for which the answer is yes. First, a new quantum algorithm is discussed for solving the Navier-Stokes nonlinear partial differential equations which govern the flow of a viscous fluid. Its construction, verification, and computational cost are described, and it is shown that a significant quantum speed-up is possible. Its generalization to a quantum algorithm for solving nonlinear partial differential equations is described. The Review closes with a discussion of next steps forward. These new quantum algorithms open up a large new application area for quantum computing with substantial economic impact, including the trillion-dollar aerospace industry. ? 2021 The Authors. Advanced Quantum Technologies published by Wiley-VCH GmbH","Finding Solutions of the Navier-Stokes Equations through Quantum Computing?Recent Progress, a Generalization, and Next Steps Forward",Advanced Quantum Technologies,Gaitan F.,,o,,-1,2024-02-23 20:58:45,
39873114,10.1109/ESSCIRC.2019,0,,"This paper discloses a mixed-signal control unit of a fully integrated semiconductor quantum processor SoC realized in a 22nm FD-SOI technology. Independent high-resolution DACs that set the amplitude and pulse-width of the control signals were integrated for each qubit,enabling both a programmable semiconductor qubit operation and a per-qubit individual calibration that compensates for the process variability. The lower deco-herence time of the semiconductor charge-qubits as compared to their spin-qubit counterparts was mitigated by using a high frequency of control unit operation. This is facilitated by the co-integration on the same die of the semiconductor quantum structures together with their corresponding classic control circuitry. The main challenge of achieving deep cryogenic operation for the mixed-signal classic control circuit was surpassed by using programmable local heating DACs that slightly boost the local temperature of the control blocks above the average temperature of the die,which needs to be maintained around 4 K to enable a reliable quantum operation. A staged multi-phase operation was adopted for the digital core in order to minimize the quantum decoherence originated in digital noise injection. The high-frequency clock tree and divider allows the generation of sub-20 ps fast edge control pulses with programmable widths down to 166 ps. This offers a wide quantum computation window when compared with the 1?s decoherence time of the charge-qubit structures. ? 2019 IEEE.",A Mixed-Signal Control Core for a Fully Integrated Semiconductor Quantum Computer System-on-Chip,ESSCIRC 2019 - IEEE 45th European Solid State Circuits Conference,Bashir I.; Pomorski K.; Staszewski R.B.; Asker M.; Cetintepe C.; Leipold D.; Esmailiyan A.; Wang H.; Siriburanon T.; Giounanlis P.; Blokhina E.,,o,,-1,2024-02-23 1:54:12,
39873115,10.1007/s11219-023-0,0,Quantum API Gateway; Quantum computing; Quantum providers; Quantum services,"After decades of advances, mainly theoretical, in recent years quantum computing has begun to show its first practical applications. This new and revolutionary technology aims to enhance essential areas such as cybersecurity, financial services, or medicine. The growth of this technology has encouraged different research centers and big companies such as IBM, Amazon, and Google to dedicate considerable efforts to developing new technologies that bring quantum computing to the market. However, these technologies are not yet mature and create a significant vendor lock-in problem. Therefore, new tools are needed that facilitate access to this technology and that allow developers to increase the abstraction level at which they work. Given that the integration of quantum software should not be very different from that of classical services, we can take advantage of the knowledge acquired and use current techniques of service-oriented computing. In this work, we have carried out a technical comparison between different quantum computing service providers using a case study, by performing empirical tests based on the Travelling Salesman Problem. This study highlights the differences between the main providers. To address these differences and reduce the vendor lock-in effect, we propose an extension of the Quantum API Gateway to support the different providers and the casuistry that each one presents. This would allow programmers to deploy quantum code without vendor-specific knowledge of the major providers, which would facilitate access and simplify the development of quantum applications. ? 2023, The Author(s).",Technological diversity of quantum computing providers: a comparative study and a proposal for API Gateway integration,Software Quality Journal,Alvarado-Valiente J.; Romero-?lvarez J.; Moguel E.; Garc?a-Alonso J.; Murillo J.M.,,o,,-1,2024-02-21 15:03:36,
39873116,10.1007/978-981-19-7,0,Deutsch Algorithm; Deutsch-Josza Algorithm; Grover Algorithm; Quantum Eigensolvers; Quantum Error Correction; Quantum Fourier Transform (QFT); Quantum Gates and Circuits; Quantum-Classical Hybrid Algorithms; Qubit; Simon?s Algorithm,"This book presents various theories and algorithms to create a quantum computer. The concept of the classical and quantum computers, and the concept of circuits and gates are reviewed. The example of the Deutsch and the Deutsch-Josca algorithm is discussed to illustrate some key features of quantum computing. The Grover algorithm, considered to be of major milestone of the subject, is discussed in detail to exemplify the techniques used in computer algorithms. The role of quantum superposition (also called quantum parallelism) and of quantum entanglement is discussed in order to understand the key advantages of a quantum over a classical computer. ? The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2023.",Quantum Computers: Theory and Algorithms,Quantum Computers: Theory and Algorithms,Baaquie B.E.; Kwek L.-C.,,o,,1,2024-02-21 14:55:27,
39873117,10.1109/MM.2021.3103,0,,[No abstract available],Special Issue on Quantum Computing,IEEE Micro,Karpuzcu U.R.,,o,,-1,2024-02-23 17:31:39,
39873118,10.1109/MCSE.2023.32,0,,"There is a great deal of focus on how quantum computing as an accelerator differs from other traditional high-performance computing (HPC) resources, including accelerators like GPUs and field-programmable gate arrays. In classical computing, how to design the interfaces that connect the different layers of the software stack, from the applications and high-level programming language description, through compilers and schedulers, and down to the hardware and gate level, has been critical. Likewise, quantum computing- s interfaces enable access to quantum technology as a viable accelerator. From the ideation of the quantum application to the manipulation of the quantum chip, each interface has its challenges. In this article, we discuss the structure of this set of quantum interfaces, their many similarities to the traditional HPC compilation stack, and how these interfaces impact the potential of quantum computers as HPC accelerators.  ? 1999-2011 IEEE.",Quantum Computing and High-Performance Computing: Compilation Stack Similarities,Computing in Science and Engineering,Lopez Alarcon S.; Elster A.C.; Elsters A.,,o,,-1,2024-02-23 21:33:59,
39873119,10.1038/s41534-021-0,0,,"The preparation of thermal equilibrium states is important for the simulation of condensed matter and cosmology systems using a quantum computer. We present a method to prepare such mixed states with unitary operators and demonstrate this technique experimentally using a gate-based quantum processor. Our method targets the generation of thermofield double states using a hybrid quantum-classical variational approach motivated by quantum-approximate optimization algorithms, without prior calculation of optimal variational parameters by numerical simulation. The fidelity of generated states to the thermal-equilibrium state smoothly varies from 99 to 75% between infinite and near-zero simulated temperature, in quantitative agreement with numerical simulations of the noisy quantum processor with error parameters drawn from experiment. ? 2021, The Author(s).",Variational preparation of finite-temperature states on a quantum computer,npj Quantum Information,Sagastizabal R.; Premaratne S.P.; Klaver B.A.; Rol M.A.; Neg?rneac V.; Moreira M.S.; Zou X.; Johri S.; Muthusubramanian N.; Beekman M.; Zachariadis C.; Ostroukh V.P.; Haider N.; Bruno A.; Matsuura A.Y.; DiCarlo L.,,o,,-1,2024-02-21 17:38:24,
39873120,10.1109/ICoDSA58501.,0,Dynamical Decoupling; fidelity; quantum computing,"Dynamical decoupling (DD) and Decoherence free subspace (DFS) are powerful techniques in quantum computing aimed at enhancing fidelity by mitigating the detrimental effects of noise and environmental interactions. In quantum systems, noise and decoherence can degrade the coherence of quantum states, leading to errors and reduced computational accuracy. DD employs carefully designed sequences of control pulses to periodically intervene and counteract these undesired interactions, while DFS utilizes subspace encoding techniques to protect quantum information from decoherence. To evaluate and compare the fidelity achieved by DD and DFS, this paper presents a series of experiments considering the effect of time and the number of qubits. The experiments provide valuable insights into the performance of both methods under different conditions. By systematically examining the fidelity results, the impact of time and the scaling behavior with increasing qubits can be assessed. The experimental findings showcase the effectiveness of DD in reducing the impact of noise and extending the coherence time of quantum states. By strategically manipulating the quantum system, DD minimizes error accumulation and preserves the integrity of fragile quantum information. It is observed that the decrease in fidelity with increasing t is relatively small and gradual. Despite being outperformed by DD, the DFS method exhibits robustness and maintains a high degree of fidelity even in the presence of extended time durations.  ? 2023 IEEE.",Dynamical Decoupling (DD) to Improve Fidelity in Quantum Computing,"2023 International Conference on Data Science and Its Applications, ICoDSA 2023",Ramadhani M.H.; Abdurohman M.; Nuha H.H.,,o,,-1,2024-02-21 14:45:11,
39873121,10.1007/978-3-031-03,0,Antitrust; Artificial intelligence; Bias; Blockchain; European union; Government regulation; Intellectual property rights; Privacy; Quantum computing,"This book explores the regulation of emerging technologies. Developments such as bitcoin (based on blockchain technology), artificial intelligence, quantum computing, and other technical advances have the potential to revolutionize many aspects of everyday life. As with other significant occurrences, especially when coupled by financial rewards, there are the inevitable attempts to reap gains unlawfully. This book examines the legal and regulatory enactments that attempt to undermine the risks to society as well as the dangers to individual freedoms that the technologies present when abused by governmental and non-governmental authorities. Included are discussions of the dangers to the right of privacy posed by facial recognition, physical location tracking, automated license plate recognition (ALPR) and other evolving applications of technology. This book is an invaluable resource for those interested in the regulation of emerging technologies particularly as they relate to blockchain, artificial intelligence, and the most current advances in quantum computing. Emphasis is focused on invasion of privacy, particularly by government authorities, antitrust implications of private companies and the efforts of international entities to counter alleged abuses by them. ? The Editor(s) (if applicable) and The Author(s), under exclusive licence to Springer Nature Switzerland AG 2022.","Regulation of Innovative Technologies: Blockchain, Artificial Intelligence and Quantum Computing","Regulation of Innovative Technologies: Blockchain, Artificial Intelligence and Quantum Computing",Girasa R.; Scalabrini G.J.,,o,,-1,2024-02-23 21:09:40,
